iter	Passed	Remaining
0	0	644
1	1	586
2	1	609
3	2	613
4	2	576
5	3	584
6	4	589
7	4	572
8	5	578
9	5	581
10	6	569
11	6	562
12	7	554
13	7	557
14	8	563
15	8	553
16	9	556
17	10	550
18	10	544
19	11	547
20	11	549
21	12	551
22	13	553
23	13	563
24	14	561
25	15	570
26	16	576
27	16	584
28	17	589
29	18	598
30	19	602
31	20	607
32	20	614
33	21	622
34	22	628
35	23	638
36	24	642
37	25	646
38	26	643
39	26	639
40	27	639
41	28	644
42	28	642
43	29	647
44	30	650
45	31	657
46	32	661
47	33	662
48	34	660
49	34	661
50	35	663
51	36	666
52	37	669
53	38	675
54	39	677
55	40	677
56	40	678
57	41	675
58	42	678
59	43	685
60	44	689
61	45	692
62	46	696
63	47	691
64	47	686
65	48	689
66	49	690
67	50	687
68	50	686
69	51	684
70	51	678
71	52	672
72	52	666
73	53	663
74	53	661
75	53	655
76	54	652
77	54	649
78	55	647
79	55	642
80	56	640
81	57	641
82	57	639
83	58	635
84	58	631
85	58	626
86	59	624
87	60	625
88	61	627
89	62	628
90	63	630
91	63	631
92	64	629
93	65	630
94	66	631
95	67	632
96	67	631
97	68	629
98	68	626
99	69	624
100	69	622
101	70	620
102	71	619
103	71	618
104	72	619
105	73	620
106	74	619
107	75	621
108	76	622
109	77	623
110	77	624
111	78	625
112	79	625
113	80	623
114	80	621
115	81	619
116	82	620
117	83	620
118	83	621
119	84	621
120	85	621
121	86	623
122	87	623
123	88	625
124	89	624
125	89	622
126	89	618
127	90	617
128	92	621
129	92	619
130	92	616
131	93	616
132	94	616
133	95	615
134	96	616
135	97	616
136	97	617
137	98	616
138	99	618
139	100	619
140	101	618
141	102	618
142	102	617
143	103	616
144	104	614
145	105	614
146	105	612
147	106	612
148	107	612
149	108	612
150	108	610
151	109	610
152	110	611
153	110	609
154	111	610
155	112	610
156	113	610
157	114	610
158	115	611
159	116	611
160	117	611
161	118	613
162	119	615
163	120	615
164	121	614
165	122	614
166	123	614
167	124	615
168	124	613
169	125	613
170	126	613
171	127	614
172	128	614
173	129	613
174	130	613
175	130	613
176	131	611
177	132	611
178	133	611
179	134	611
180	134	610
181	135	609
182	136	609
183	136	607
184	137	606
185	138	606
186	139	606
187	140	606
188	140	604
189	141	604
190	142	604
191	143	604
192	144	603
193	145	603
194	146	602
195	146	602
196	147	600
197	148	600
198	149	600
199	149	598
200	150	596
201	150	596
202	151	595
203	152	595
204	153	595
205	154	594
206	154	593
207	155	591
208	155	590
209	156	589
210	157	588
211	158	589
212	159	588
213	160	588
214	161	588
215	162	588
216	162	587
217	163	586
218	164	585
219	164	584
220	165	584
221	166	583
222	167	583
223	168	583
224	169	582
225	169	581
226	170	581
227	171	580
228	172	579
229	172	578
230	173	577
231	174	576
232	174	575
233	175	574
234	176	573
235	176	572
236	177	571
237	178	571
238	179	571
239	180	571
240	181	570
241	181	569
242	182	568
243	183	568
244	184	567
245	184	566
246	185	565
247	186	564
248	186	563
249	187	562
250	188	562
251	189	561
252	189	560
253	190	559
254	191	558
255	191	557
256	192	556
257	193	555
258	193	553
259	194	553
260	195	552
261	195	551
262	196	550
263	196	548
264	197	547
265	198	546
266	198	545
267	199	544
268	200	544
269	200	543
270	201	542
271	202	541
272	203	540
273	203	540
274	204	539
275	205	539
276	206	538
277	207	538
278	207	537
279	208	536
280	209	536
281	210	535
282	210	534
283	211	532
284	212	532
285	213	532
286	214	532
287	214	531
288	215	530
289	217	531
290	217	530
291	219	531
292	219	530
293	220	530
294	222	531
295	223	531
296	224	531
297	225	530
298	226	530
299	227	530
300	228	529
301	228	528
302	229	528
303	230	527
304	231	527
305	231	526
306	232	525
307	233	524
308	234	523
309	234	522
310	235	521
311	236	520
312	236	519
313	237	518
314	238	517
315	238	517
316	239	516
317	240	515
318	241	514
319	241	513
320	242	513
321	243	512
322	244	511
323	245	511
324	245	510
325	246	510
326	247	509
327	248	508
328	248	507
329	249	507
330	250	506
331	251	506
332	252	504
333	253	504
334	253	504
335	254	503
336	255	502
337	256	502
338	256	500
339	257	500
340	258	500
341	259	499
342	260	498
343	261	498
344	262	497
345	262	496
346	263	495
347	264	495
348	265	494
349	265	493
350	266	492
351	267	491
352	267	490
353	268	489
354	269	488
355	269	487
356	270	486
357	270	485
358	271	484
359	272	483
360	272	483
361	273	482
362	274	481
363	274	480
364	275	478
365	275	477
366	276	476
367	276	475
368	277	474
369	278	473
370	278	472
371	279	471
372	279	470
373	280	469
374	281	468
375	281	467
376	282	466
377	282	465
378	283	464
379	284	464
380	285	463
381	285	462
382	286	461
383	287	460
384	287	459
385	288	458
386	288	457
387	289	456
388	290	456
389	291	455
390	292	455
391	293	454
392	293	453
393	294	453
394	295	452
395	296	451
396	297	451
397	297	450
398	298	449
399	299	449
400	300	448
401	301	447
402	301	447
403	302	445
404	303	445
405	303	444
406	304	443
407	305	442
408	305	442
409	306	441
410	307	440
411	308	439
412	309	439
413	309	438
414	310	437
415	311	437
416	312	436
417	313	436
418	314	435
419	314	434
420	315	434
421	316	433
422	317	432
423	318	432
424	318	431
425	319	430
426	320	429
427	321	429
428	321	428
429	322	427
430	322	426
431	323	425
432	324	424
433	324	423
434	325	422
435	325	421
436	326	420
437	327	419
438	327	418
439	328	417
440	328	416
441	329	415
442	329	414
443	330	413
444	330	412
445	331	412
446	332	411
447	333	410
448	334	409
449	334	409
450	335	408
451	336	407
452	337	406
453	337	406
454	338	405
455	339	404
456	339	403
457	340	403
458	341	402
459	341	401
460	342	400
461	343	399
462	344	399
463	344	398
464	345	397
465	346	396
466	346	395
467	347	395
468	348	394
469	348	393
470	349	392
471	350	391
472	351	391
473	351	390
474	352	389
475	353	389
476	354	388
477	355	387
478	356	387
479	356	386
480	357	386
481	358	385
482	359	385
483	360	384
484	361	384
485	362	383
486	363	382
487	363	381
488	364	380
489	365	380
490	365	379
491	366	378
492	367	377
493	367	376
494	368	375
495	369	375
496	369	374
497	370	373
498	370	372
499	371	371
500	372	370
501	372	369
502	373	368
503	374	368
504	374	367
505	375	366
506	375	365
507	376	364
508	377	363
509	377	363
510	378	362
511	379	361
512	380	361
513	381	360
514	382	360
515	383	359
516	383	358
517	384	358
518	385	357
519	386	356
520	387	356
521	388	355
522	389	355
523	390	354
524	390	353
525	391	353
526	392	351
527	392	351
528	393	350
529	394	349
530	395	349
531	395	348
532	396	347
533	396	346
534	397	345
535	398	344
536	399	344
537	399	343
538	400	342
539	401	341
540	401	341
541	402	340
542	403	339
543	404	338
544	404	338
545	405	337
546	406	336
547	406	335
548	407	334
549	408	333
550	408	333
551	409	332
552	410	331
553	410	330
554	411	329
555	411	328
556	412	328
557	413	327
558	413	326
559	414	325
560	415	325
561	416	324
562	416	323
563	417	322
564	417	321
565	418	320
566	418	319
567	419	318
568	419	317
569	420	317
570	421	316
571	421	315
572	422	314
573	422	313
574	423	313
575	424	312
576	425	311
577	426	311
578	427	310
579	428	310
580	429	309
581	430	309
582	431	308
583	432	307
584	433	307
585	433	306
586	434	305
587	435	305
588	436	304
589	437	303
590	438	303
591	439	302
592	440	302
593	440	301
594	441	300
595	442	300
596	443	299
597	444	298
598	445	298
599	446	297
600	447	296
601	448	296
602	449	295
603	450	295
604	450	294
605	451	293
606	452	293
607	453	292
608	454	291
609	455	291
610	456	290
611	456	289
612	457	288
613	458	288
614	458	287
615	459	286
